0,Toy Story,1995,"[0.1292651, 0.9912045, 0.3094408, 0.046774946, 0.38359597, 0.7688596, 0.7061159, 0.5430034]"
1,Jumanji,1995,"[0.29208797, 0.8805418, 0.54852027, 0.11277108, 0.011137283, 0.48586693, 0.41299483, 0.31279212]"
2,Grumpier Old Men,1995,"[0.06843603, 0.64486736, 0.95193726, 0.77234477, 0.10289731, 0.19096899, 0.19958998, 0.45652053]"
3,Waiting to Exhale,1995,"[0.12529631, 0.97666544, 0.9562791, 0.26792502, 0.4985838, 0.48165375, 0.4433258, 0.51943904]"
4,Father of the Bride Part II,1995,"[0.9091329, 0.11180299, 0.50146306, 0.14437369, 0.30511552, 0.9253111, 0.6242992, 0.59333664]"
5,Heat,1995,"[0.069573455, 0.9025472, 0.3660789, 0.71476346, 0.54592687, 0.23001896, 0.040365808, 0.33758134]"
6,Sabrina,1995,"[0.14768927, 0.81598705, 0.7629831, 0.774077, 0.59145904, 0.22048526, 0.47689196, 0.11052859]"
7,Tom and Huck,1995,"[0.33408794, 0.7012632, 0.015105444, 0.46201494, 0.56728965, 0.18634276, 0.31412032, 0.31811792]"
8,Sudden Death,1995,"[0.39598873, 0.15946025, 0.3327977, 0.95971, 0.65502393, 0.042010117, 0.84997725, 0.010232182]"
9,GoldenEye,1995,"[0.117008306, 0.68725455, 0.8316358, 0.1335042, 0.2403364, 0.56069165, 0.15309283, 0.83224165]"
10,"American President",1995,"[0.24175546, 0.9313782, 0.8240339, 0.36505628, 0.899719, 0.2663685, 0.84064764, 0.45826977]"
11,Dracula: Dead and Loving It,1995,"[0.89987135, 0.97742087, 0.21274242, 0.6292299, 0.7720941, 0.3117658, 0.14563774, 0.7634718]"
12,Balto,1995,"[0.51948696, 0.39782652, 0.5458117, 0.16346012, 0.17033774, 0.83584696, 0.17114414, 0.64717203]"
13,Nixon,1995,"[0.705818, 0.6460773, 0.8007578, 0.70183927, 0.5236577, 0.21240796, 0.94088507, 0.4576473]"
